trial_num,change_of_mind
17,0
18,0
19,1
20,1
21,0
22,0
23,1
24,1
25,0
26,0
27,0
28,0
29,1
30,1
31,0
32,1
33,0
34,1
35,0
36,1
37,1
38,1
39,0
40,0
41,0
42,0
43,1
44,1
45,0
46,0
47,1
48,1
49,1
50,1
51,0
52,0
53,1
54,0
55,0
56,1
57,1
58,0
59,0
60,1
61,0
62,0
63,1
64,0
65,0
66,0
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,0
84,1
85,1
86,1
87,1
88,0
89,0
90,0
91,0
92,0
93,1
94,1
95,0
96,1
97,0
98,0
99,1
100,0
101,0
102,1
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,1
111,1
112,1
113,0
114,1
115,0
116,0
117,0
118,0
119,0
120,1
121,0
122,0
123,0
124,0
125,0
126,1
127,0
128,0
129,0
130,0
131,0
132,0
133,1
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,1
143,0
144,1
145,1
146,1
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,1
156,0
157,1
158,0
159,0
160,0
161,0
162,1
163,0
164,0
165,0
166,0
167,0
168,0
169,1
170,0
171,1
172,1
173,0
174,0
175,0
176,0
177,0
178,1
179,0
180,0
181,0
182,0
183,0
184,0
185,1
186,0
187,0
188,0
189,1
190,0
191,0
192,0
193,0
194,0
195,1
196,0
197,0
198,0
199,0
200,0
201,0
202,1
203,0
204,0
205,0
206,0
207,1
208,0
209,0
210,0
211,1
212,0
213,0
214,0
215,0
216,0
217,0
218,1
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,1
227,0
228,0
229,0
230,1
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,1
239,1
240,1
241,1
242,0
243,0
244,1
245,0
246,0
247,0
248,1
249,0
250,0
251,0
252,1
253,0
254,1
255,0
256,0
257,1
258,0
259,1
260,0
261,1
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,1
274,0
275,0
276,1
277,0
278,1
279,0
280,0
281,0
282,0
283,0
284,0
285,1
286,0
287,0
288,0
289,0
290,1
291,0
292,1
293,0
294,1
295,0
296,0
297,1
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,1
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,1
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
